OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
Acat1,Aimp2,Adam17,Acvr2b,Actg1,Atrn,,Aldh9a1,Antxr2,Ankrd46
Acbd3,Ak3,Adam19,Acy1,Actl6a,Atxn1,,Alg13,Anxa1,Ankrd50
Accs,Ak4,Adam23,Ada,Actn1,Atxn2,,Alox12,Anxa11,Ankrd6
Ace,Ak5,Adam9,Adam10,Actn2,Atxn7l3,,Alox15,Anxa3,Ankrd9
Acer2,Akap11,Adamts1,Adam11,Actn4,Auts2,,Alpl,Anxa9,Anks1
Acot1,Akap13,Adamts10,Adam12,Actr3,Aven,,Ammecr1,Ap1s3,Ano1
Acot4,Akap8,Adamts12,Adam15,Actr3b,B4galnt1,,Amotl1,Ap2a2,Ano4
Acox1,Akap8l,Adamts14,Adam17,Actr5,BC089491,,Anapc16,Ap3s1,Ano6
Acp2,Akap9,Adamts2,Adam19,Actr6,Baiap2,,Anapc4,Ap3s2,Antxr1
Acp6,Akna,Adamts5,Adam9,Acvr1,Baiap2l1,,Angpt2,Ap5m1,Antxr2
Acsbg1,Akt1,Adamts6,Adamts1,Acvr2a,Basp1,,Ank,Apbb1ip,Anxa1
Acsl4,Akt2,Adamts9,Adamts10,Acvr2b,Baz1a,,Ankfy1,Apbb2,Anxa11
Acss1,Akt3,Adamtsl1,Adamts12,Acy1,Bcat2,,Ankmy2,App,Anxa3
Acta1,Alad,Adamtsl3,Adamts17,Ada,Bche,,Ankrd16,Aqp1,Anxa9
Acta2,Alcam,Adamtsl4,Adamts5,Adam10,Bckdhb,,Ankrd33b,Aqp3,Ap2a2
Actb,Aldh18a1,Adamtsl5,Adamts6,Adam11,Bcl11a,,Ankrd44,Aqr,Ap3s1
Actg1,Aldh2,Adap2,Adamts9,Adam12,Bcl2,,Ankrd50,Arc,Ap3s2
Actn1,Aldh9a1,Adar,Adamtsl3,Adam17,Bcl6,,Ankrd6,Arf1,Apba2
Actn4,Aldoa,Adarb1,Adamtsl4,Adam19,Bcl9,,Anks1,Arf3,Apbb2
Actr1b,Alg2,Adat1,Adamtsl5,Adam9,Bcor,,Ano4,Arfgap3,Aph1b
Actr3,Alg3,Adck1,Adar,Adamts1,Bcorl1,,Ano6,Arfip1,Aph1c
Actr3b,Alg8,Adck3,Adarb1,Adamts10,Bdnf,,Antxr1,Arg1,Apip
Actr5,Alg9,Adcy5,Adat1,Adamts12,Bean1,,Antxr2,Arhgap10,Apol7a
Actr8,Alkbh3,Adcy6,Adck1,Adamts14,Bhlha15,,Anxa1,Arhgap17,App
Acvr1,Alkbh5,Adcy8,Adck3,Adamts5,Birc5,,Anxa11,Arhgap19,Aqp1
Acvr2a,Alox5ap,Adcy9,Adcy5,Adamts6,Blcap,,Anxa3,Arhgap22,Aqp3
Acvr2b,Aloxe3,Adcyap1r1,Adcy9,Adamts9,Bloc1s5,,Anxa6,Arhgap24,Aqr
Acvrl1,Alpl,Add1,Add1,Adamtsl3,Bmper,,Anxa9,Arhgap29,Arap2
Acy1,Alyref,Add2,Add2,Adamtsl4,Bmpr1b,,Aox1,Arhgap31,Arc
Ada,Alyref2,Adh5,Adh5,Adar,Bmpr2,,Ap1s3,Arhgap42,Areg
Adam10,Ambra1,Adi1,Adi1,Adarb1,Boc,,Ap2a2,Arhgap44,Arf1
Adam12,Amotl2,Adnp2,Adipor1,Adat1,Brca2,,Ap3b1,Arhgap6,Arfgap3
Adam15,Ampd2,Adora2b,Adora2b,Adck1,Bri3bp,,Ap3s1,Arhgef10l,Arfip1
Adam19,Anapc1,Adprhl2,Adpgk,Adck3,Brsk1,,Ap3s2,Arhgef28,Arg1
Adam23,Anapc11,Adra2a,Adra2a,Adck5,Brwd3,,Ap5z1,Arhgef3,Arglu1
Adam9,Anapc7,Adrb1,Adssl1,Adcy1,Bsn,,Apba2,Arid2,Arhgap10
Adamts1,Angptl4,Adrb2,Aebp2,Adcy5,Bspry,,Apbb2,Arid5b,Arhgap17
Adamts10,Ank,Adrb3,Afap1,Adcy6,Btg1,,Aph1b,Arl1,Arhgap19
Adamts14,Ankib1,Adsl,Afap1l2,Add1,Bves,,Apln,Arl2bp,Arhgap21
Adamts2,Ankrd10,Adss,Aff1,Add2,C130074G19Rik,,Apod,Arl4c,Arhgap24
Adamts20,Ankrd12,Adssl1,Aff3,Add3,C2cd2l,,App,Arl5a,Arhgap29
Adamts6,Ankrd13b,Aebp1,Aff4,Adh5,Cables1,,Appl2,Arl8b,Arhgap31
Adamts7,Ankrd24,Aebp2,Afg3l1,Adi1,Cacna1b,,Aqp1,Armc5,Arhgap32
Adamts9,Ankrd27,Afap1l1,Afg3l2,Adipor1,Cacna1d,,Aqp11,Arnt2,Arhgap42
Adamtsl5,Ankrd28,Aff1,Aftph,Adora2b,Cacna2d1,,Aqp3,Arntl,Arhgap44
Adap1,Ankrd40,Aff3,Agap1,Adprh,Cacng4,,Aqr,Arpc5,Arhgap5
Adarb1,Ankrd52,Aff4,Agbl3,Adra2a,Cacybp,,Ar,Arrdc3,Arhgap6
Adat1,Ano6,Afg3l2,Aggf1,Adssl1,Cadm2,,Arap3,Arrdc4,Arhgef10l
Adck3,Anp32a,Aftph,Agk,Afap1,Cald1,,Arc,Arsb,Arhgef18
Adcy4,Anp32e,Agbl3,Agl,Afap1l2,Calm1,,Areg,Arsj,Arhgef28
Adcy6,Anxa5,Agbl5,Ago3,Aff1,Camk2b,,Arf1,Art4,Arhgef3
Adcy7,Ap1ar,Agfg1,Agpat4,Aff3,Camk2g,,Arf2,Artn,Arhgef33
Adcy8,Ap1m1,Agfg2,Agpat5,Aff4,Camkmt,,Arfgap1,Asah1,Arhgef5
